model_id,embedding_family,embedding,model,beta,accuracy,precision,recall,f_1.0,f_0.7,f_0.5,f_0.3,TN,TP,FP,FN,confusion_matrix,score_type,model_path
CM125,longformer,longformer_mean,RandomForest,0.5,0.7456140350877193,0.7419354838709677,0.3150684931506849,0.4423076923076923,,0.583756345177665,,147,23,8,50,"[[147, 8], [50, 23]]",,
CM126,longformer,longformer_mean,XGBoost,0.5,0.75,0.6481481481481481,0.4794520547945205,0.5511811023622047,,0.6055363321799307,,136,35,19,38,"[[136, 19], [38, 35]]",,
CM127,longformer,longformer_mean_pca,LogisticRegression,1.0,0.7149122807017544,0.5476190476190477,0.6301369863013698,0.5859872611464968,,,,117,46,38,27,"[[117, 38], [27, 46]]",,
CM128,longformer,longformer_mean_pca,RidgeClassifier,1.0,0.7105263157894737,0.5443037974683544,0.589041095890411,0.5657894736842105,,,,119,43,36,30,"[[119, 36], [30, 43]]",,
CM129,longformer,longformer_mean_pca,LDA,1.0,0.7105263157894737,0.5573770491803278,0.4657534246575342,0.5074626865671642,,,,128,34,27,39,"[[128, 27], [39, 34]]",,
CM130,longformer,longformer_mean_pca,SVM,1.0,0.7017543859649122,0.5308641975308642,0.589041095890411,0.5584415584415584,,,,117,43,38,30,"[[117, 38], [30, 43]]",,
CM131,longformer,longformer_mean_pca,KNN,1.0,0.6754385964912281,0.4912280701754385,0.3835616438356164,0.4307692307692308,,,,126,28,29,45,"[[126, 29], [45, 28]]",,
CM132,longformer,longformer_mean_pca,MLPClassifier,1.0,0.7105263157894737,0.559322033898305,0.4520547945205479,0.5,,,,129,33,26,40,"[[129, 26], [40, 33]]",,
CM133,longformer,longformer_mean_pca,DecisionTree,1.0,0.631578947368421,0.4421052631578947,0.5753424657534246,0.5,,,,102,42,53,31,"[[102, 53], [31, 42]]",,
CM134,longformer,longformer_mean_pca,RandomForest,1.0,0.7017543859649122,0.543859649122807,0.4246575342465753,0.4769230769230769,,,,129,31,26,42,"[[129, 26], [42, 31]]",,
CM135,longformer,longformer_mean_pca,XGBoost,1.0,0.7280701754385965,0.6486486486486487,0.3287671232876712,0.4363636363636363,,,,142,24,13,49,"[[142, 13], [49, 24]]",,
